run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[11].app[4],ResponseTime,,,,"356.635869477456 819.563656933242 1239.815418070313 1573.234969301034 1840.827314367282 2155.828709352731 2396.203405388776 2651.549679201158 2954.099840919484 3350.796699908905 3629.679993197737 3927.06866814508 4313.62939494598 4656.022326906417 5014.298299761572","355.63586947746 314.7627649812 280.96219873476 204.53153466758 178.56703106128 246.08459580013 152.45123911409 186.9749432673 224.5358602294 303.43030811246 175.49392181078 223.67778756563 266.23323001201 240.60444728238 236.92304684216"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[2].app[3],ResponseTime,,,,"150.373854340727 482.934730320713 787.742330983665 1217.348904265708 1550.448090913755 1863.192080116011 2230.152401434271 2610.498945709613 2943.949449709348 3228.720824533675 3557.091102854884 3800.814685913875 4037.774260926176 4367.438974268748 4667.586459315249 4901.7278125931 5223.165191853213 5500.479390635619 5812.225527484502 6107.133914616499 6410.97410144488","149.37385434073 188.95593617906 227.98124350496 324.90990036704 238.39240683547 202.68599215947 268.75497383712 277.79648796969 235.04009171891 220.45914863037 275.0008898898 149.0861148802 179.53749998708 215.33748652471 188.63732055915 174.81170800306 231.92059326686 160.41001917977 231.50900020747 208.06704367753 210.9063790216"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[12].app[3],ResponseTime,,,,"244.21121423443 548.722966189807 846.182381599209 1215.296949964796 1495.586117114692 1919.489444482603 2248.59632623824 2576.974675802707 2914.594428621898 3230.680550946837 3480.078423118854 3693.521806773695 3892.788314135948 4066.661085094321 4195.333054517612 4475.258204480609 4751.844734979612 5109.235333840674 5482.196031608717 5751.772938885358 5951.827447188269 6164.918208085869 6442.136073647498","243.21121423443 183.12150037051 236.94455681331 272.85154448383 211.00769513209 287.69266598918 201.47298363611 204.73796071051 234.95132631525 219.97432732501 185.53387661154 154.29330500343 153.8870417707 126.41761042135 74.896481516311 176.14657941311 224.71023029436 241.08012878002 226.18705270726 160.95009217348 124.38216566761 133.25019336714 192.10172007724"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[2].app[4],ResponseTime,,,,"129.573670938945 324.009301522634 607.357919083646 891.218109269323 1269.139774874983 1533.557912812064 1800.951767582655 2015.024094318529 2343.386698173907 2697.857425783353 2956.907842831519 3172.365686603541 3460.067395306227 3771.340820385617 4009.534204996359 4315.24346994301 4567.809869832461 4903.478219295521 5187.528025778414 5477.073316840741 5810.794976795098 6073.533503577987 6339.384935462295 6604.003471487296 7040.488042494105","128.57367093894 85.019594850085 203.0573137962 179.79288276718 263.20513386706 184.41210447159 192.68083434361 150.57045170974 272.25256613774 250.01411774018 175.96668351651 150.77699222951 176.80209133764 251.34109399392 180.9468509153 240.81470462188 184.18539380632 222.61958317401 156.81085349658 233.49483296152 237.09807222355 174.15368658022 185.44540025599 167.01452197829 287.9328699916"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[1].app[3],ResponseTime,,,,"144.479914071484 499.303075932616 776.691935290192 1166.767831944182 1531.386834319932 1845.491941118423 2201.110230375069 2629.975896750736 2943.554673278869 3196.05298730058 3540.105098944143 3795.898828245491 4031.206561774538 4398.178993894634 4655.937828758606 4858.265320973792 5165.454066538068 5479.173853841315 5804.606900404907 6084.818529689667 6414.234395315927 6727.538498555757 6941.955607823063 7333.605704664069 7598.010900247722 7815.171579213682 7999.652553346884 8276.042924463466 11525.722658705159 11885.860988933324 12164.106804982203","143.47991407148 204.85346514009 204.34634344184 276.30274994737 257.51087863792 214.41282580969 246.5524163821 342.23535242806 220.68013931125 189.45840873696 278.02590433729 168.39862630395 172.65095878203 247.33170793391 165.80881447537 141.82692682936 209.67678290018 205.29438808428 258.09311431226 203.08148861773 240.24952418717 215.27065219149 154.73957369759 276.45816231575 192.79928564713 169.8765288868 139.37751234182 185.98460670554 145.38003177607 194.10475568543 171.69700020138"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[5].app[3],ResponseTime,,,,"130.806611598698 418.594029894973 724.946295941964 916.533092846914 1145.691651768596 1341.299530767499 1627.451725965681 1855.112146489913 2227.323673614536 2575.377189851614 2821.159207839072 3102.232358630436 3379.213072906231 3731.503680379342 4038.584018755357 4405.117256240954 4787.576180142897 5131.457500343648 5465.362338797856 5683.90254117208 5957.886298788835 6274.120509814782 6576.980241350318 6843.742263700252 7150.365261988686 7385.356867053964 7722.934716287742 7932.455657878697 8162.65815135673 8458.239387668617 8811.82867705124 9139.27858335262 9472.381763700929 9787.481927107437 9986.854006432268 10284.418729061007 10553.932813463375 10868.25564731121","129.8066115987 162.0543666479 209.15010511506 123.51203523464 159.96598899873 118.34763141344 202.71661021168 171.55801586587 275.60872175929 245.63467452278 177.33217318252 221.77586670384 195.32247690716 274.02556269014 223.49307287284 271.53674342127 253.96752460511 271.45077178003 199.92855837548 174.54416053876 196.04050145262 215.85372166636 230.17456369664 201.49109924327 222.3054022832 178.31568277848 228.81606971764 135.2692453603 161.51438356321 207.03044594035 269.60692557823 242.05755597708 213.79701018426 193.76038281503 157.19879121149 203.56381589669 167.73028238665 243.81904934726"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[9].app[4],ResponseTime,,,,"262.596551861217 595.19389838145 925.463055258738 1306.794420396013 1596.243724713159 2059.163963409563 2411.144167051758 2793.628871162974 3103.129011689951 3319.713110178679 3581.899594052614 3766.911027798476 3967.867065493877 4146.954377064473 4355.578879174488 4566.452636004709 4866.596543469745 5199.181028409115 5466.573467891024 5746.920353937692 5970.978193064013 6216.036392625355 6503.793231376319 6788.750919490459 7032.158947664434 7244.820096976655 7527.44362855215 7839.607471471464 8104.659554415528 8412.140165989967 8725.456448897029 8975.941898193697 9220.860301037786 9482.893759818636 9729.857039650701 9970.819148740186 10196.689985908524 10449.69684818839 10780.675553455519","261.59655186122 225.05984087825 256.23183711296 260.31593375418 216.11250592916 336.55525950489 262.16567124107 299.41829564664 230.37425238984 107.52023781952 175.73659905415 119.25477465349 152.45374466342 133.84188306911 176.71294376439 158.09193082063 231.59557238115 245.09908009065 183.72800273147 176.15407214527 145.02750937513 164.43533529393 194.21522239559 193.73002708734 155.92221370644 159.40044471104 140.78981143546 222.89682033623 155.80321319771 263.86558595047 233.46446050692 138.56066937934 177.13321727212 164.25477057374 194.04977887974 145.41843040298 144.14684463696 178.49282085011 215.51917580029"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[17].app[2],ResponseTime,,,,"133.25919069827 380.323379382323 708.670686415088 1010.326676867671 1341.241871714986 1635.85993074989 1877.863372517571 2166.994286320121 2567.497001682596 2880.812708005436 3107.439592456655 3350.020097034699 3656.506257520082 3929.026770650883 4192.407359867067 4511.687816423565 4798.810657884492 8105.385932675789 8361.458727089454 8711.704849502411 9011.475571892447 9384.423823736217 9659.358027370949 9991.198254786954 10334.667641500967 10681.070157060965 10917.276775439473 11103.075134077622 11400.357281405357 11681.815524507144 11923.340625604582 12162.213752726094 12445.770698124346 12777.69189025912 13102.813460050181 13371.77632052205 13654.564275563005 13915.998681771709 14244.193165727474 14583.694533332693 14933.92591125982 15321.628941083326","132.25919069827 137.03703948388 234.46008990083 194.78638439171 225.0652468663 208.35997667304 162.15801977313 210.95619886695 298.55864543502 214.80807578355 155.32120778978 193.7035334024 239.45865968859 192.29423927999 192.41620445495 194.23471168748 197.1215682476 203.29345163246 181.0641158167 233.96183132969 151.8098759878 291.18222193336 201.39042499924 250.45717161672 266.16698839167 230.57636019375 166.76485453595 148.36698312127 237.53967415518 201.55007900865 178.18271972706 191.32297330356 190.88869756693 232.46921671863 187.50753668202 185.44662322816 170.19177551838 172.09975457755 220.66929462619 242.70723697908 265.23934514467 251.79541415585"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[10].app[1],ResponseTime,,,,"242.828628097297 631.267662008157 918.924251548547 1181.466738026763 1418.394537930482 1683.144448263187 1941.969481522942 2288.417042344178 2575.307986018077 2836.373445358501 3056.585032821727 3305.079854128475 3574.881770681982 3779.088682868088 3999.944703568329 4203.874167979801 4474.182649223355 4772.822995852025 5018.961107015267 5270.53287389886 5492.698053901686 5724.007747158278 5921.085201012514 6196.729275456474 6473.744457440497 6724.195133914691 6992.271434747483 7218.859852173528 7401.754797860635 7576.153750414008 7771.495671060292 8028.846225954757 8285.76874773517 8485.803645169147 8824.153368206721 9099.89151230374 9371.42122413898 9652.253114912414 9987.569887323765 10265.407807142839 10597.114998875491 10910.12590175225 11153.734080061928 11331.936835441241 11649.724383323254","241.8286280973 294.13788572463 190.16488895635 153.89464744249 146.8250618079 167.99885196792 170.75438230937 191.5453613683 160.55457714555 169.16339760851 126.1735565541 175.95306543854 214.83306543377 108.43325319904 169.28485654933 143.35331350915 198.28713885312 222.16266389764 165.99537814111 192.23438439566 169.44434146023 179.76767097298 165.31054082851 186.45559315604 202.82936378412 166.7062866498 184.87716075868 135.22314384801 91.288812184757 129.85890744051 132.49471464298 190.94556106093 151.58496766281 139.13015666064 218.09646212183 173.1868908709 187.1052461381 191.59337199737 252.00037939324 173.83724214503 227.06390729215 226.40930194001 118.42120861531 113.93030208047 249.92066991015"
MATLAB-Pretio-wl-100-runs-Scheduling-is-on-QDrop-is-on-new2-0-20211030-09:31:33-74649,vector,PretioWithLB.client[13].app[4],ResponseTime,,,,"144.747590524416 483.9897523329 795.030540186736 1168.476913753747 1551.90678131739 1897.446995809331 2255.660897363391 2629.558512620008 2925.1715986948 3195.287731690594 3519.211411386588 3773.14585949303 4031.351043911966 4367.18647157856 4667.496636773027 4884.117245636318 5222.93185207514 5490.020377818114 5836.228724931744 6123.682722583877 6489.851005634464 6804.16010147943 7098.174943712443 7429.156310554141 7696.574319542529 7898.11770928747 8118.917681539649 8452.433316521028 8771.995164299281 9045.378841133705 9259.945559653097 9548.595680863921 9789.908896401237 10041.989809841605 10313.439323086811 10566.588959869533 10805.434789244614 10995.400689252829 11229.268466788828 11380.896359214361 11694.486978466188 12003.372439127393 12232.393986656064 12517.058941370221 12715.289767404721 12939.187148210215 13196.531887781684 13483.527285717433 13769.990262645106 14090.100932300973 14332.061087607092","143.74759052442 189.89842591108 234.49682008996 277.24011036565 269.78154911957 231.66131458615 259.25513528404 272.51806184012 205.16353044059 194.23887955131 258.25041378084 177.42158319728 180.66023718232 216.25812067577 190.12884094949 159.28946067774 239.79058537149 151.05964056269 275.81501344348 209.8569703633 256.1961666974 201.47588487591 225.84804889005 209.94214011318 177.17222085879 135.04387103611 185.19572958083 259.87548707449 217.15518712123 194.38541959886 126.36675637361 207.19445428406 143.70961141151 177.67225885468 184.48862272689 178.38251958271 161.01836466512 153.33728633055 178.69927257341 116.89797953697 266.1686420325 203.19875648731 173.61275949437 206.74341033941 120.01868941826 187.40418053787 178.51567894091 187.15056134455 179.73297918085 212.81734611696 172.95596774774"
